X,Y,Point,index,index_g,Node,Candidate,PT,graph
2893.833252,2061.6582031,b,8,6_8,Node1,11,7,6
2979.7646484,2050.7851562,c,10,6_10,Node3,11,7,6
2863.2561035,1936.8306885,d,11,6_11,Node4,11,7,6
2954.786620975,1977.2640075499999,e,-1,6_-1,Node0,11,7,6
3082.29248,1859.7819824,a,6,6_6,Node4,12,7,6
2893.833252,2061.6582031,b,8,6_8,Node2,12,7,6
3012.7846680000002,1984.7103271,c,9,6_9,Node1,12,7,6
2979.7646484,2050.7851562,d,10,6_10,Node3,12,7,6
2992.1687621,1989.2339171999997,e,-1,6_-1,Node0,12,7,6
3082.29248,1859.7819824,a,6,6_6,Node4,13,7,6
2893.833252,2061.6582031,b,8,6_8,Node3,13,7,6
3012.7846680000002,1984.7103271,c,9,6_9,Node1,13,7,6
2863.2561035,1936.8306885,d,11,6_11,Node2,13,7,6
2963.041625875,1960.7453002749999,e,-1,6_-1,Node0,13,7,6
3082.29248,1859.7819824,a,6,6_6,Node4,14,7,6
3012.7846680000002,1984.7103271,b,9,6_9,Node1,14,7,6
2979.7646484,2050.7851562,c,10,6_10,Node3,14,7,6
2863.2561035,1936.8306885,d,11,6_11,Node2,14,7,6
2984.524474975,1958.0270385500003,e,-1,6_-1,Node0,14,7,6
2389.1752930000002,1931.288208,a,12,6_12,Node4,15,3,6
2517.1315918,1926.0472412,b,13,6_13,Node1,15,3,6
2591.6379395,1973.6147461,c,14,6_14,Node3,15,3,6
2469.0727539,2023.0761719,d,15,6_15,Node2,15,3,6
2491.75439455,1963.5065918,e,-1,6_-1,Node0,15,3,6
2389.1752930000002,1931.288208,a,12,6_12,Node1,16,7,6
2517.1315918,1926.0472412,b,13,6_13,Node2,16,7,6
2469.0727539,2023.0761719,c,15,6_15,Node3,16,7,6
2116.2600098,1747.8273926,d,21,6_21,Node4,16,7,6
2372.909912125,1907.059753425,e,-1,6_-1,Node0,16,7,6
2389.1752930000002,1931.288208,a,12,6_12,Node1,17,7,6
2591.6379395,1973.6147461,b,14,6_14,Node2,17,7,6
2469.0727539,2023.0761719,c,15,6_15,Node3,17,7,6
2116.2600098,1747.8273926,d,21,6_21,Node4,17,7,6
2391.53649905,1918.95162965,e,-1,6_-1,Node0,17,7,6
2389.1752930000002,1931.288208,a,12,6_12,Node2,18,7,6
2517.1315918,1926.0472412,b,13,6_13,Node1,18,7,6
2591.6379395,1973.6147461,c,14,6_14,Node3,18,7,6
2116.2600098,1747.8273926,d,21,6_21,Node4,18,7,6
2403.551208525,1894.694396975,e,-1,6_-1,Node0,18,7,6
2645.6618651999997,1693.0784912,a,2,6_2,Node4,19,7,6
2517.1315918,1926.0472412,b,13,6_13,Node1,19,7,6
2591.6379395,1973.6147461,c,14,6_14,Node2,19,7,6
2469.0727539,2023.0761719,d,15,6_15,Node3,19,7,6
2555.8760376,1903.9541626,e,-1,6_-1,Node0,19,7,6
2645.6618651999997,1693.0784912,a,2,6_2,Node2,20,7,6
2389.1752930000002,1931.288208,b,12,6_12,Node4,20,7,6
2517.1315918,1926.0472412,c,13,6_13,Node1,20,7,6
2591.6379395,1973.6147461,d,14,6_14,Node3,20,7,6
2535.901672375,1881.007171625,e,-1,6_-1,Node0,20,7,6
2645.6618651999997,1693.0784912,a,2,6_2,Node4,21,7,6
2389.1752930000002,1931.288208,b,12,6_12,Node2,21,7,6
2517.1315918,1926.0472412,c,13,6_13,Node1,21,7,6
2469.0727539,2023.0761719,d,15,6_15,Node3,21,7,6
2505.260375975,1893.372528075,e,-1,6_-1,Node0,21,7,6
2863.2561035,1936.8306885,a,11,6_11,Node4,22,7,6
2517.1315918,1926.0472412,b,13,6_13,Node2,22,7,6
2591.6379395,1973.6147461,c,14,6_14,Node1,22,7,6
2469.0727539,2023.0761719,d,15,6_15,Node3,22,7,6
2610.274597175,1964.892211925,e,-1,6_-1,Node0,22,7,6
2863.2561035,1936.8306885,a,11,6_11,Node4,23,7,6
2389.1752930000002,1931.288208,b,12,6_12,Node3,23,7,6
2517.1315918,1926.0472412,c,13,6_13,Node1,23,7,6
2591.6379395,1973.6147461,d,14,6_14,Node2,23,7,6
2590.30023195,1941.94522095,e,-1,6_-1,Node0,23,7,6
2863.2561035,1936.8306885,a,11,6_11,Node4,24,7,6
2389.1752930000002,1931.288208,b,12,6_12,Node2,24,7,6
2591.6379395,1973.6147461,c,14,6_14,Node1,24,7,6
2469.0727539,2023.0761719,d,15,6_15,Node3,24,7,6
2578.285522475,1966.202453625,e,-1,6_-1,Node0,24,7,6
2645.6618651999997,1693.0784912,a,2,6_2,Node2,25,7,6
2389.1752930000002,1931.288208,b,12,6_12,Node4,25,7,6
2591.6379395,1973.6147461,c,14,6_14,Node3,25,7,6
2469.0727539,2023.0761719,d,15,6_15,Node1,25,7,6
2523.8869629,1905.2644043,e,-1,6_-1,Node0,25,7,6
1635.300293,1946.2297363,a,16,6_16,Node4,26,4,6
1723.0650635,1978.1258545,b,17,6_17,Node1,26,4,6
1785.5982666,2022.777832,c,18,6_18,Node3,26,4,6
1805.012085,1912.9656982000001,d,19,6_19,Node2,26,4,6
1737.2439270250002,1965.0247802499998,e,-1,6_-1,Node0,26,4,6
1635.300293,1946.2297363,a,16,6_16,Node4,27,7,6
1723.0650635,1978.1258545,b,17,6_17,Node1,27,7,6
1785.5982666,2022.777832,c,18,6_18,Node3,27,7,6
2022.2142334,1771.6156006,d,20,6_20,Node2,27,7,6
1791.544464125,1929.68725585,e,-1,6_-1,Node0,27,7,6
1635.300293,1946.2297363,a,16,6_16,Node2,28,7,6
1723.0650635,1978.1258545,b,17,6_17,Node3,28,7,6
1805.012085,1912.9656982000001,c,19,6_19,Node1,28,7,6
2022.2142334,1771.6156006,d,20,6_20,Node4,28,7,6
1796.397918725,1902.2342224,e,-1,6_-1,Node0,28,7,6
1635.300293,1946.2297363,a,16,6_16,Node3,29,7,6
1785.5982666,2022.777832,b,18,6_18,Node2,29,7,6
1805.012085,1912.9656982000001,c,19,6_19,Node1,29,7,6
2022.2142334,1771.6156006,d,20,6_20,Node4,29,7,6
1812.0312195000001,1913.397216775,e,-1,6_-1,Node0,29,7,6
1723.0650635,1978.1258545,a,17,6_17,Node3,30,7,6
1785.5982666,2022.777832,b,18,6_18,Node2,30,7,6
1805.012085,1912.9656982000001,c,19,6_19,Node1,30,7,6
2022.2142334,1771.6156006,d,20,6_20,Node4,30,7,6
1833.9724121250001,1921.371246325,e,-1,6_-1,Node0,30,7,6
2022.2142334,1771.6156006,a,20,6_20,Node3,31,5,6
2116.2600098,1747.8273926,b,21,6_21,Node1,31,5,6
1981.74560547,1680.3065186,c,22,6_22,Node2,31,5,6
2151.1909180000002,1670.2866211,d,23,6_23,Node4,31,5,6
2067.8526916675,1717.5090332250002,e,-1,6_-1,Node0,31,5,6
1805.012085,1912.9656982000001,a,19,6_19,Node4,32,7,6
2022.2142334,1771.6156006,b,20,6_20,Node1,32,7,6
2116.2600098,1747.8273926,c,21,6_21,Node3,32,7,6
1981.74560547,1680.3065186,d,22,6_22,Node2,32,7,6
1981.3079834175,1778.1788025,e,-1,6_-1,Node0,32,7,6
1805.012085,1912.9656982000001,a,19,6_19,Node4,33,7,6
2022.2142334,1771.6156006,b,20,6_20,Node1,33,7,6
2116.2600098,1747.8273926,c,21,6_21,Node2,33,7,6
2151.1909180000002,1670.2866211,d,23,6_23,Node3,33,7,6
2023.6693115500002,1775.673828125,e,-1,6_-1,Node0,33,7,6
1805.012085,1912.9656982000001,a,19,6_19,Node4,34,7,6
2022.2142334,1771.6156006,b,20,6_20,Node1,34,7,6
1981.74560547,1680.3065186,c,22,6_22,Node2,34,7,6
2151.1909180000002,1670.2866211,d,23,6_23,Node3,34,7,6
1990.0407104675,1758.793609625,e,-1,6_-1,Node0,34,7,6
2389.1752930000002,1931.288208,a,12,6_12,Node2,35,7,6
2022.2142334,1771.6156006,b,20,6_20,Node3,35,7,6
2116.2600098,1747.8273926,c,21,6_21,Node1,35,7,6
